State,Governor,Party,State Senate Democrats,State Senate Republicans,State Senate Majority,State Senate Majority %,State House Democrats,State House Republicans,State House Majority,State House Majority %,Party Control,Median Income,State GDP (2022) (in millions),Gini Coefficient 2019,Gini Coefficient 2015-2019,Population (2022),Life Expectancy 2019,Life Expectancy 2019 Male,Life Expectancy 2019 Female,Sick Leave Policy,"Number of Doctors per 100,000 resident population",Total Education Funding (in thousands),Population over the age of 25,With a High School Diploma or higher,With a Bachelor's Degree or higher,With an Advanced Degree,Number in Poverty,Poverty Rate (%),Incarcerated Total,Incarceration Rate,Total Violent Crimes (2020),"Total Violent Crimes Occurred per 100,000",Max AQI,90th Percentile AQI,Median AQI,% Good Days,% Moderate Days,% Unhealthy for Sensitive Groups Days,% Unhealthy Days,% Very Unhealthy Days,% Hazardous Days
Alabama,Kay Ivey,Republican,8,27,Republican,77%,28,77,Republican,73%,Republican,"$52,000","277,817",0.4741,0.4791,"5,074,296",75.5,72.5,78.5,Alabama does not require paid sick leave and preempts local governments from requiring it.[8][9],223.32,"$9,638,232",3451208,3034741,946766,374490,"762,642",15.98%,"40,400",0.80%,"22,322",453.6,109.428571,63.5,42.2857143,73.48%,25.72%,0.63%,0.13%,0.04%,0.00%
Alaska,Mike Dunleavy,Republican,9,11,Republican,55%,13,20,Republican,61%,Republican,"$77,800","63,618",0.4376,0.4284,"733,583",78.2,76.3,80.4,Alaska does not require paid sick leave.[8],259.16,"$2,630,433",485779,453289,159290,57868,"74,369",10.34%,"4,400",0.60%,"6,126",837.8,88.8,47,24,91.38%,7.34%,1.06%,0.21%,0.00%,0.00%
Arizona,Katie Hobbs,Democrat,14,16,Republican,53%,29,31,Republican,52%,Mixed,"$61,500","458,950",0.4591,0.4664,"7,359,197",79.3,76.6,82.1,"All full-time, part-time, and temporary workers earn one hour of paid sick leave for every 30 hours worked. Employees of companies with 15 or more employees can accrue up to 40 hours a year, while employees of smaller companies can only accrue 24 hours a year. Companies are only required to allow employees to use their time off after being employed for 90 days.[8]",245.76,"$10,557,268",4980297,4430934,1615081,629408,"990,528",14.12%,"54,600",0.74%,"35,980",654.8,147.230769,70.3076923,42.3076923,66.39%,30.49%,2.80%,0.28%,0.00%,0.03%
Arkansas,Sarah Huckabee Sanders,Republican,6,29,Republican,83%,18,82,Republican,82%,Republican,"$49,500","165,221",0.475,0.4765,"3,045,637",75.9,73.2,78.6,Arkansas does not require paid sick leave and preempts local governments from requiring it.[8][9],212.61,"$6,148,689",2037763,1806873,515034,190897,"470,190",16.08%,"24,700",0.81%,"20,363",671.9,99.2727273,59.9090909,38.4545455,76.72%,22.41%,0.82%,0.05%,0.00%,0.00%
California,Gavin Newsom,Democrat,32,8,Democrat,80%,62,18,Democrat,78%,Democrat,"$78,700","3,598,103",0.4866,0.4886,"39,029,342",81.2,78.7,83.6,"All employees are entitled to earn one hour of paid sick leave every 30 hours after working 30 days. Employees can earn up to 48 hours a year, but companies can limit the amount one can use to 24. Unused hours are carried over. Companies are only required to allow employees to use their time off after being employed for 90 days. San Francisco, Oakland, Long Beach, San Diego, Emeryville, Santa Monica, Los Angeles, and Berkeley have more expansive requirements.[8]",273.41,"$109,107,811",26909869,22724990,9737817,3779787,"4,853,434",12.58%,"200,700",0.51%,"174,026",442,166.9,63.92,41.06,75.81%,21.01%,2.55%,0.42%,0.07%,0.14%
Colorado,Jared Polis,Democrat,23,12,Democrat,66%,46,19,Democrat,71%,Democrat,"$75,200","484,372",0.4548,0.4566,"5,839,926",80.2,78,82.4,"All employees earn one hour of paid sick leave for every 30 hours worked and can accrue and use up to 48 a year, with unused hours being carried over. If a public health emergency is declared, full-time workers are allowed an additional 80 hours off, while part-time workers are allowed an additional number of days equal to their average days worked a week or schedules to work in 14 days.[8]",288.57,"$13,182,103",4044182,3738208,1796240,688931,"544,232",9.78%,"32,700",0.56%,"24,570",423.1,123.875,62.5416667,40.9166667,65.68%,32.78%,1.28%,0.23%,0.02%,0.00%
Connecticut,Ned Lamont,Democrat,24,12,Democrat,67%,98,53,Democrat,65%,Democrat,"$79,900","321,845",0.5024,0.4963,"3,626,205",80.6,78,83.1,"Companies with 50 or more employees are required to provide paid sick leave to hourly, service workers. Temporary or day workers are not included. Employees earn one hour off for every 40 hours worked and can use up to 40 hours a year, with unused hours carrying over.[8]",360.73,"$12,763,124",2534376,2309185,1067671,479981,"339,156",9.78%,"13,700",0.38%,"6,459",181.6,164.25,60.875,41.5,81.55%,15.50%,1.62%,1.25%,0.07%,0.00%
Delaware,John Carney,Democrat,15,6,Democrat,71%,26,15,Democrat,63%,Democrat,"$69,100","87,525",0.4509,0.4545,"1,018,396",78.4,75.4,81.2,Delaware does not require paid sick leave.[8],257.7,"$2,516,033",711104,649638,253292,106997,"107,641",11.44%,"6,100",0.60%,"4,262",431.9,126,76,47,56.04%,41.76%,2.20%,0.00%,0.00%,0.00%
Florida,Ron DeSantis,Republican,12,28,Republican,70%,35,83,Republican,70%,Republican,"$57,700","1,389,070",0.4808,0.4862,"22,244,823",79.6,76.9,82.3,Florida does not require paid sick leave and preempts local government from requiring it.[8][9],264.63,"$34,349,055",15762122,14153579,5226846,1978625,"2,772,939",13.34%,"150,500",0.68%,"83,368",383.6,87.9210526,55.4736842,40.1052632,82.29%,17.53%,0.15%,0.03%,0.00%,0.00%
Georgia,Brian Kemp,Republican,23,33,Republican,59%,78,102,Republican,57%,Republican,"$61,200","755,698",0.4795,0.4819,"10,912,876",77.7,75.3,80.1,Georgia does not require paid sick leave and preempts local government from requiring it.[8][9],226.7,"$24,578,332",7234271,6436394,2505076,991062,"1,461,572",14.28%,"89,700",0.82%,"42,850",400.1,124.964286,64.4642857,41.3928571,71.57%,27.06%,1.27%,0.10%,0.00%,0.00%
